DBN,School Name,Cohort Year,Econ Disadv # Total Cohort,Econ Disadv # Grads,Econ Disadv % Grads,Econ Disadv # Total Regents,Econ Disadv % Total Regents of Cohort,Econ Disadv # Advanced Regents,Econ Disadv % Advanced Regents of Cohort,Econ Disadv # Dropout,Econ Disadv % Dropout,Not Econ Disadv # Total Cohort,Not Econ Disadv # Grads,Not Econ Disadv % Grads,Not Econ Disadv # Total Regents,Not Econ Disadv % Total Regents of Cohort,Not Econ Disadv # Advanced Regents,Not Econ Disadv % Advanced Regents of Cohort,Not Econ Disadv # Dropout,Not Econ Disadv % Dropout
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,53.0,40,75.5,27,50.9,0,0.0,3,5.7,40.0,28,70.0,24,60.0,1,2.5,4,10.0
02M374,GRAMERCY ARTS HIGH SCHOOL,2005,40.0,31,77.5,9,22.5,0,0.0,2,5.0,28.0,19,67.9,4,14.3,0,0.0,2,7.1
02M376,NYC ISCHOOL,2017,43.0,43,100.0,43,100.0,0,0.0,0,0.0,73.0,73,100.0,73,100.0,0,0.0,0,0.0
02M376,NYC ISCHOOL,2016,48.0,48,100.0,48,100.0,0,0.0,0,0.0,53.0,51,96.2,51,96.2,0,0.0,1,1.9
02M376,NYC ISCHOOL,2015,48.0,47,97.9,46,95.8,0,0.0,0,0.0,61.0,60,98.4,60,98.4,0,0.0,0,0.0
02M376,NYC ISCHOOL,2014,55.0,55,100.0,55,100.0,0,0.0,0,0.0,57.0,55,96.5,55,96.5,0,0.0,0,0.0
02M376,NYC ISCHOOL,2013,41.0,40,97.6,40,97.6,0,0.0,1,2.4,64.0,63,98.4,63,98.4,0,0.0,1,1.6
02M376,NYC ISCHOOL,2012,56.0,54,96.4,53,94.6,0,0.0,0,0.0,51.0,49,96.1,49,96.1,0,0.0,1,2.0
02M376,NYC ISCHOOL,2011,47.0,45,95.7,45,95.7,0,0.0,0,0.0,53.0,53,100.0,53,100.0,0,0.0,0,0.0
02M376,NYC ISCHOOL,2010,48.0,45,93.8,44,91.7,0,0.0,2,4.2,51.0,49,96.1,47,92.2,0,0.0,0,0.0
02M376,NYC ISCHOOL,2009,54.0,47,87.0,47,87.0,0,0.0,2,3.7,45.0,42,93.3,42,93.3,0,0.0,1,2.2
02M376,NYC ISCHOOL,2008,46.0,44,95.7,44,95.7,0,0.0,0,0.0,53.0,47,88.7,47,88.7,0,0.0,0,0.0
02M392,MANHATTAN BUSINESS ACADEMY,2017,78.0,72,92.3,72,92.3,18,23.1,1,1.3,25.0,23,92.0,23,92.0,7,28.0,0,0.0
02M392,MANHATTAN BUSINESS ACADEMY,2016,87.0,79,90.8,74,85.1,9,10.3,2,2.3,14.0,14,100.0,14,100.0,1,7.1,0,0.0
02M392,MANHATTAN BUSINESS ACADEMY,2015,73.0,68,93.2,58,79.5,2,2.7,1,1.4,18.0,15,83.3,14,77.8,0,0.0,3,16.7
02M392,MANHATTAN BUSINESS ACADEMY,2014,87.0,74,85.1,65,74.7,0,0.0,5,5.7,9.0,6,66.7,6,66.7,0,0.0,2,22.2
02M392,MANHATTAN BUSINESS ACADEMY,2013,86.0,74,86.0,69,80.2,0,0.0,3,3.5,18.0,14,77.8,14,77.8,0,0.0,3,16.7
02M392,MANHATTAN BUSINESS ACADEMY,2012,75.0,67,89.3,62,82.7,3,4.0,2,2.7,21.0,17,81.0,16,76.2,0,0.0,0,0.0
02M392,MANHATTAN BUSINESS ACADEMY,2011,78.0,67,85.9,58,74.4,1,1.3,7,9.0,21.0,18,85.7,18,85.7,0,0.0,1,4.8
02M392,MANHATTAN BUSINESS ACADEMY,2010,58.0,51,87.9,47,81.0,4,6.9,1,1.7,18.0,12,66.7,11,61.1,3,16.7,1,5.6
02M392,MANHATTAN BUSINESS ACADEMY,2009,71.0,61,85.9,52,73.2,3,4.2,2,2.8,16.0,14,87.5,14,87.5,1,6.3,1,6.3
02M392,MANHATTAN BUSINESS ACADEMY,2008,1.0,s,s,s,s,s,s,s,s,,,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,2017,78.0,68,87.2,68,87.2,21,26.9,3,3.8,20.0,13,65.0,13,65.0,6,30.0,3,15.0
02M393,BUSINESS OF SPORTS SCHOOL,2016,70.0,57,81.4,57,81.4,7,10.0,5,7.1,31.0,23,74.2,23,74.2,5,16.1,3,9.7
02M393,BUSINESS OF SPORTS SCHOOL,2015,66.0,53,80.3,46,69.7,0,0.0,6,9.1,25.0,23,92.0,21,84.0,1,4.0,1,4.0
02M393,BUSINESS OF SPORTS SCHOOL,2014,70.0,49,70.0,36,51.4,1,1.4,3,4.3,21.0,19,90.5,16,76.2,0,0.0,1,4.8
02M393,BUSINESS OF SPORTS SCHOOL,2013,59.0,46,78.0,39,66.1,0,0.0,2,3.4,37.0,29,78.4,24,64.9,0,0.0,2,5.4
02M393,BUSINESS OF SPORTS SCHOOL,2012,48.0,27,56.3,23,47.9,1,2.1,4,8.3,37.0,29,78.4,22,59.5,0,0.0,2,5.4
02M393,BUSINESS OF SPORTS SCHOOL,2011,42.0,25,59.5,22,52.4,0,0.0,4,9.5,33.0,20,60.6,14,42.4,0,0.0,1,3.0
02M393,BUSINESS OF SPORTS SCHOOL,2010,62.0,32,51.6,27,43.5,0,0.0,8,12.9,35.0,25,71.4,23,65.7,0,0.0,2,5.7
02M393,BUSINESS OF SPORTS SCHOOL,2009,81.0,56,69.1,51,63.0,3,3.7,8,9.9,,,,,,,,,
02M394,EMMA LAZARUS HIGH SCHOOL,2017,81.0,43,53.1,43,53.1,32,39.5,19,23.5,14.0,2,14.3,2,14.3,2,14.3,8,57.1
02M394,EMMA LAZARUS HIGH SCHOOL,2016,130.0,71,54.6,71,54.6,49,37.7,30,23.1,11.0,2,18.2,2,18.2,1,9.1,8,72.7
02M394,EMMA LAZARUS HIGH SCHOOL,2015,66.0,30,45.5,30,45.5,15,22.7,19,28.8,9.0,3,33.3,3,33.3,1,11.1,3,33.3
02M394,EMMA LAZARUS HIGH SCHOOL,2014,86.0,56,65.1,56,65.1,36,41.9,14,16.3,13.0,5,38.5,5,38.5,2,15.4,6,46.2
02M394,EMMA LAZARUS HIGH SCHOOL,2013,86.0,41,47.7,41,47.7,25,29.1,23,26.7,11.0,3,27.3,2,18.2,1,9.1,6,54.5
02M394,EMMA LAZARUS HIGH SCHOOL,2012,56.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2011,53.0,27,50.9,27,50.9,14,26.4,7,13.2,6.0,4,66.7,4,66.7,1,16.7,2,33.3
02M394,EMMA LAZARUS HIGH SCHOOL,2010,75.0,35,46.7,35,46.7,17,22.7,15,20.0,10.0,5,50.0,5,50.0,1,10.0,4,40.0
02M394,EMMA LAZARUS HIGH SCHOOL,2009,74.0,43,58.1,43,58.1,25,33.8,5,6.8,9.0,1,11.1,1,11.1,1,11.1,7,77.8
02M394,EMMA LAZARUS HIGH SCHOOL,2008,122.0,65,53.3,65,53.3,52,42.6,17,13.9,12.0,1,8.3,1,8.3,0,0.0,9,75.0
02M394,EMMA LAZARUS HIGH SCHOOL,2007,12.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2006,10.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2017,33.0,25,75.8,25,75.8,7,21.2,4,12.1,11.0,10,90.9,10,90.9,2,18.2,0,0.0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2016,57.0,41,71.9,41,71.9,17,29.8,2,3.5,11.0,11,100.0,11,100.0,2,18.2,0,0.0
