DBN,School Name,Cohort Year,SWD # Total Cohort,SWD # Grads,SWD % Grads,SWD # Total Regents,SWD % Total Regents of Cohort,SWD # Advanced Regents,SWD % Advanced Regents of Cohort,SWD # Dropout,SWD % Dropout,Not SWD # Total Cohort,Not SWD # Grads,Not SWD % Grads,Not SWD # Total Regents,Not SWD % Total Regents of Cohort,Not SWD # Advanced Regents,Not SWD % Advanced Regents of Cohort,Not SWD # Dropout,Not SWD % Dropout
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2004,33.0,17,51.5,6,18.2,3,9.1,6,18.2,264.0,219,83.0,196,74.2,92,34.8,5,1.9
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2003,27.0,9,33.3,3,11.1,1,3.7,8,29.6,285.0,219,76.8,175,61.4,67,23.5,24,8.4
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2002,26.0,5,19.2,1,3.8,0,0.0,10,38.5,346.0,271,78.3,221,63.9,80,23.1,21,6.1
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2001,37.0,12,32.4,2,5.4,0,0.0,13,35.1,323.0,259,80.2,195,60.4,73,22.6,13,4.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2017,14.0,13,92.9,13,92.9,0,0.0,0,0.0,57.0,55,96.5,55,96.5,0,0.0,0,0.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2016,13.0,13,100.0,13,100.0,0,0.0,0,0.0,52.0,51,98.1,51,98.1,0,0.0,0,0.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2015,8.0,7,87.5,7,87.5,0,0.0,0,0.0,59.0,55,93.2,55,93.2,0,0.0,0,0.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2014,1.0,s,s,s,s,s,s,s,s,68.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2013,1.0,s,s,s,s,s,s,s,s,59.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2012,5.0,s,s,s,s,s,s,s,s,67.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2011,9.0,5,55.6,5,55.6,0,0.0,0,0.0,61.0,56,91.8,56,91.8,0,0.0,1,1.6
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2010,9.0,6,66.7,6,66.7,0,0.0,0,0.0,66.0,57,86.4,57,86.4,0,0.0,1,1.5
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2009,7.0,7,100.0,7,100.0,0,0.0,0,0.0,62.0,56,90.3,56,90.3,0,0.0,1,1.6
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2008,13.0,11,84.6,11,84.6,0,0.0,0,0.0,52.0,42,80.8,42,80.8,0,0.0,1,1.9
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2007,8.0,2,25.0,2,25.0,0,0.0,2,25.0,46.0,41,89.1,35,76.1,0,0.0,0,0.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,4.0,s,s,s,s,s,s,s,s,51.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,6.0,3,50.0,0,0.0,0,0.0,1,16.7,52.0,41,78.8,0,0.0,0,0.0,0,0.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2004,3.0,s,s,s,s,s,s,s,s,47.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2003,8.0,6,75.0,0,0.0,0,0.0,0,0.0,62.0,49,79.0,0,0.0,0,0.0,2,3.2
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2002,3.0,s,s,s,s,s,s,s,s,50.0,s,s,s,s,s,s,s,s
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2001,3.0,s,s,s,s,s,s,s,s,37.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2017,13.0,13,100.0,13,100.0,6,46.2,0,0.0,83.0,82,98.8,82,98.8,61,73.5,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2016,11.0,11,100.0,11,100.0,1,9.1,0,0.0,104.0,101,97.1,100,96.2,32,30.8,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2015,14.0,13,92.9,5,35.7,0,0.0,1,7.1,85.0,84,98.8,83,97.6,29,34.1,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2014,28.0,23,82.1,12,42.9,1,3.6,1,3.6,96.0,93,96.9,93,96.9,36,37.5,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2013,13.0,8,61.5,2,15.4,0,0.0,2,15.4,84.0,81,96.4,81,96.4,24,28.6,1,1.2
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2012,6.0,6,100.0,4,66.7,0,0.0,0,0.0,107.0,97,90.7,95,88.8,17,15.9,1,0.9
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2011,6.0,6,100.0,3,50.0,0,0.0,0,0.0,91.0,85,93.4,85,93.4,14,15.4,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2010,2.0,s,s,s,s,s,s,s,s,91.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2009,5.0,s,s,s,s,s,s,s,s,105.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2008,6.0,6,100.0,4,66.7,0,0.0,0,0.0,99.0,91,91.9,90,90.9,2,2.0,0,0.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,2.0,s,s,s,s,s,s,s,s,98.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2006,2.0,s,s,s,s,s,s,s,s,78.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2005,2.0,s,s,s,s,s,s,s,s,98.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2004,11.0,0,0.0,0,0.0,0,0.0,0,0.0,70.0,1,1.4,0,0.0,0,0.0,1,1.4
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2003,6.0,5,83.3,3,50.0,3,50.0,0,0.0,78.0,67,85.9,58,74.4,21,26.9,1,1.3
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2002,1.0,s,s,s,s,s,s,s,s,95.0,s,s,s,s,s,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2001,,,,,,,,,,80.0,72,90.0,54,67.5,15,18.8,4,5.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2017,22.0,21,95.5,20,90.9,1,4.5,0,0.0,105.0,105,100.0,105,100.0,71,67.6,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2016,10.0,9,90.0,6,60.0,1,10.0,0,0.0,105.0,105,100.0,105,100.0,54,51.4,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2015,17.0,17,100.0,16,94.1,6,35.3,0,0.0,95.0,95,100.0,95,100.0,65,68.4,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2014,19.0,19,100.0,15,78.9,3,15.8,0,0.0,98.0,97,99.0,97,99.0,73,74.5,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2013,7.0,7,100.0,6,85.7,1,14.3,0,0.0,104.0,104,100.0,104,100.0,70,67.3,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2012,9.0,8,88.9,6,66.7,0,0.0,0,0.0,99.0,99,100.0,99,100.0,55,55.6,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2011,2.0,s,s,s,s,s,s,s,s,103.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2010,1.0,s,s,s,s,s,s,s,s,106.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2009,3.0,s,s,s,s,s,s,s,s,112.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2008,3.0,s,s,s,s,s,s,s,s,93.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2007,2.0,s,s,s,s,s,s,s,s,104.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,3.0,s,s,s,s,s,s,s,s,102.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,,,,,,,,,,96.0,96,100.0,94,97.9,55,57.3,0,0.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2004,4.0,s,s,s,s,s,s,s,s,100.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2003,2.0,s,s,s,s,s,s,s,s,92.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2002,3.0,s,s,s,s,s,s,s,s,98.0,s,s,s,s,s,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2001,2.0,s,s,s,s,s,s,s,s,90.0,s,s,s,s,s,s,s,s
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2017,26.0,21,80.8,21,80.8,9,34.6,1,3.8,83.0,82,98.8,82,98.8,63,75.9,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2016,25.0,24,96.0,24,96.0,4,16.0,0,0.0,103.0,102,99.0,102,99.0,66,64.1,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2015,24.0,21,87.5,17,70.8,2,8.3,0,0.0,91.0,89,97.8,89,97.8,62,68.1,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2014,16.0,14,87.5,10,62.5,2,12.5,0,0.0,108.0,107,99.1,107,99.1,71,65.7,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2013,25.0,22,88.0,20,80.0,6,24.0,0,0.0,128.0,126,98.4,126,98.4,74,57.8,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2012,21.0,19,90.5,16,76.2,3,14.3,0,0.0,112.0,111,99.1,111,99.1,74,66.1,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2011,19.0,17,89.5,16,84.2,4,21.1,0,0.0,144.0,140,97.2,140,97.2,76,52.8,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2010,16.0,13,81.3,10,62.5,5,31.3,0,0.0,110.0,106,96.4,106,96.4,44,40.0,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2009,25.0,19,76.0,15,60.0,0,0.0,0,0.0,104.0,98,94.2,98,94.2,58,55.8,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2008,17.0,14,82.4,10,58.8,1,5.9,0,0.0,114.0,104,91.2,104,91.2,51,44.7,0,0.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2007,20.0,19,95.0,17,85.0,4,20.0,0,0.0,117.0,105,89.7,104,88.9,58,49.6,1,0.9
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2006,20.0,18,90.0,16,80.0,2,10.0,0,0.0,104.0,95,91.3,90,86.5,60,57.7,2,1.9
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2005,18.0,17,94.4,11,61.1,4,22.2,0,0.0,115.0,110,95.7,107,93.0,73,63.5,2,1.7
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2004,10.0,10,100.0,7,70.0,0,0.0,0,0.0,92.0,89,96.7,85,92.4,57,62.0,1,1.1
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2003,2.0,s,s,s,s,s,s,s,s,102.0,s,s,s,s,s,s,s,s
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2002,3.0,s,s,s,s,s,s,s,s,99.0,s,s,s,s,s,s,s,s
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,2001,2.0,s,s,s,s,s,s,s,s,81.0,s,s,s,s,s,s,s,s
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2017,20.0,19,95.0,19,95.0,0,0.0,0,0.0,81.0,78,96.3,78,96.3,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2016,20.0,20,100.0,20,100.0,0,0.0,0,0.0,86.0,84,97.7,84,97.7,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2015,20.0,15,75.0,15,75.0,0,0.0,0,0.0,89.0,82,92.1,82,92.1,0,0.0,1,1.1
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2014,14.0,12,85.7,12,85.7,0,0.0,0,0.0,87.0,82,94.3,82,94.3,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2013,17.0,17,100.0,16,94.1,0,0.0,0,0.0,83.0,81,97.6,81,97.6,0,0.0,1,1.2
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2012,17.0,13,76.5,13,76.5,0,0.0,0,0.0,81.0,72,88.9,72,88.9,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2011,9.0,8,88.9,8,88.9,0,0.0,0,0.0,80.0,75,93.8,75,93.8,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2010,12.0,11,91.7,11,91.7,0,0.0,0,0.0,78.0,71,91.0,71,91.0,0,0.0,1,1.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2009,16.0,11,68.8,11,68.8,0,0.0,0,0.0,75.0,64,85.3,64,85.3,0,0.0,1,1.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2008,13.0,11,84.6,11,84.6,0,0.0,1,7.7,64.0,53,82.8,53,82.8,0,0.0,4,6.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2007,11.0,2,18.2,2,18.2,0,0.0,1,9.1,77.0,53,68.8,53,68.8,0,0.0,3,3.9
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,16.0,7,43.8,7,43.8,0,0.0,1,6.3,79.0,54,68.4,54,68.4,0,0.0,1,1.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,14.0,12,85.7,12,85.7,0,0.0,0,0.0,70.0,61,87.1,61,87.1,0,0.0,2,2.9
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2004,18.0,13,72.2,13,72.2,0,0.0,0,0.0,78.0,62,79.5,62,79.5,0,0.0,0,0.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2003,7.0,6,85.7,5,71.4,0,0.0,0,0.0,85.0,79,92.9,79,92.9,0,0.0,2,2.4
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2002,3.0,s,s,s,s,s,s,s,s,70.0,s,s,s,s,s,s,s,s
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2001,7.0,6,85.7,6,85.7,0,0.0,0,0.0,64.0,61,95.3,61,95.3,0,0.0,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2017,24.0,22,91.7,22,91.7,13,54.2,0,0.0,81.0,80,98.8,80,98.8,76,93.8,1,1.2
02M414,N.Y.C. MUSEUM SCHOOL,2016,18.0,16,88.9,14,77.8,7,38.9,1,5.6,96.0,94,97.9,94,97.9,86,89.6,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2015,10.0,10,100.0,9,90.0,4,40.0,0,0.0,85.0,83,97.6,83,97.6,58,68.2,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2014,15.0,14,93.3,12,80.0,2,13.3,0,0.0,99.0,96,97.0,96,97.0,51,51.5,1,1.0
02M414,N.Y.C. MUSEUM SCHOOL,2013,2.0,s,s,s,s,s,s,s,s,115.0,s,s,s,s,s,s,s,s
02M414,N.Y.C. MUSEUM SCHOOL,2012,10.0,9,90.0,9,90.0,4,40.0,0,0.0,109.0,108,99.1,107,98.2,87,79.8,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2011,4.0,s,s,s,s,s,s,s,s,106.0,s,s,s,s,s,s,s,s
02M414,N.Y.C. MUSEUM SCHOOL,2010,13.0,11,84.6,9,69.2,3,23.1,0,0.0,86.0,85,98.8,85,98.8,38,44.2,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2009,19.0,19,100.0,16,84.2,6,31.6,0,0.0,106.0,104,98.1,104,98.1,56,52.8,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2008,5.0,s,s,s,s,s,s,s,s,98.0,s,s,s,s,s,s,s,s
02M414,N.Y.C. MUSEUM SCHOOL,2007,12.0,11,91.7,9,75.0,3,25.0,0,0.0,86.0,83,96.5,83,96.5,35,40.7,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2006,17.0,14,82.4,10,58.8,1,5.9,2,11.8,89.0,86,96.6,76,85.4,4,4.5,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2005,8.0,6,75.0,2,25.0,1,12.5,0,0.0,92.0,88,95.7,78,84.8,26,28.3,0,0.0
02M414,N.Y.C. MUSEUM SCHOOL,2004,8.0,6,75.0,6,75.0,0,0.0,0,0.0,67.0,63,94.0,52,77.6,6,9.0,3,4.5
02M414,N.Y.C. MUSEUM SCHOOL,2003,6.0,3,50.0,3,50.0,0,0.0,0,0.0,46.0,35,76.1,30,65.2,7,15.2,2,4.3
02M414,N.Y.C. MUSEUM SCHOOL,2002,4.0,s,s,s,s,s,s,s,s,52.0,s,s,s,s,s,s,s,s
02M414,N.Y.C. MUSEUM SCHOOL,2001,3.0,s,s,s,s,s,s,s,s,50.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2017,21.0,21,100.0,21,100.0,20,95.2,0,0.0,112.0,112,100.0,112,100.0,111,99.1,0,0.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2016,21.0,20,95.2,20,95.2,15,71.4,0,0.0,113.0,113,100.0,113,100.0,112,99.1,0,0.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2015,15.0,15,100.0,15,100.0,9,60.0,0,0.0,113.0,111,98.2,111,98.2,101,89.4,0,0.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2014,17.0,16,94.1,13,76.5,4,23.5,0,0.0,126.0,126,100.0,126,100.0,113,89.7,0,0.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2013,6.0,6,100.0,6,100.0,3,50.0,0,0.0,141.0,139,98.6,139,98.6,127,90.1,1,0.7
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2012,4.0,s,s,s,s,s,s,s,s,132.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2011,1.0,s,s,s,s,s,s,s,s,128.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2010,2.0,s,s,s,s,s,s,s,s,126.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2009,4.0,s,s,s,s,s,s,s,s,118.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2008,2.0,s,s,s,s,s,s,s,s,135.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2007,4.0,s,s,s,s,s,s,s,s,110.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,1.0,s,s,s,s,s,s,s,s,126.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,2.0,s,s,s,s,s,s,s,s,113.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2004,2.0,s,s,s,s,s,s,s,s,103.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2003,3.0,s,s,s,s,s,s,s,s,114.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2002,4.0,s,s,s,s,s,s,s,s,97.0,s,s,s,s,s,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2001,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
02M418,MILLENNIUM HIGH SCHOOL,2017,20.0,19,95.0,18,90.0,3,15.0,0,0.0,138.0,137,99.3,137,99.3,108,78.3,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2016,22.0,21,95.5,20,90.9,4,18.2,1,4.5,142.0,142,100.0,142,100.0,107,75.4,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2015,14.0,12,85.7,11,78.6,4,28.6,0,0.0,127.0,126,99.2,126,99.2,104,81.9,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2014,23.0,23,100.0,18,78.3,4,17.4,0,0.0,151.0,150,99.3,150,99.3,111,73.5,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2013,9.0,9,100.0,8,88.9,6,66.7,0,0.0,133.0,132,99.2,132,99.2,88,66.2,1,0.8
02M418,MILLENNIUM HIGH SCHOOL,2012,11.0,10,90.9,10,90.9,4,36.4,0,0.0,160.0,158,98.8,158,98.8,101,63.1,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2011,15.0,15,100.0,15,100.0,2,13.3,0,0.0,137.0,134,97.8,134,97.8,79,57.7,1,0.7
02M418,MILLENNIUM HIGH SCHOOL,2010,15.0,15,100.0,14,93.3,3,20.0,0,0.0,133.0,130,97.7,130,97.7,75,56.4,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2009,12.0,12,100.0,11,91.7,4,33.3,0,0.0,166.0,163,98.2,163,98.2,100,60.2,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2008,11.0,11,100.0,8,72.7,1,9.1,0,0.0,137.0,136,99.3,136,99.3,62,45.3,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2007,18.0,16,88.9,13,72.2,4,22.2,0,0.0,128.0,118,92.2,115,89.8,65,50.8,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2006,10.0,9,90.0,8,80.0,1,10.0,0,0.0,140.0,136,97.1,131,93.6,67,47.9,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2005,15.0,14,93.3,11,73.3,1,6.7,0,0.0,108.0,105,97.2,95,88.0,14,13.0,0,0.0
02M418,MILLENNIUM HIGH SCHOOL,2004,4.0,s,s,s,s,s,s,s,s,101.0,s,s,s,s,s,s,s,s
02M418,MILLENNIUM HIGH SCHOOL,2003,9.0,6,66.7,4,44.4,0,0.0,0,0.0,98.0,89,90.8,78,79.6,21,21.4,1,1.0
02M418,MILLENNIUM HIGH SCHOOL,2002,1.0,s,s,s,s,s,s,s,s,90.0,s,s,s,s,s,s,s,s
02M419,LANDMARK HIGH SCHOOL,2017,19.0,13,68.4,13,68.4,0,0.0,1,5.3,54.0,46,85.2,46,85.2,0,0.0,2,3.7
02M419,LANDMARK HIGH SCHOOL,2016,13.0,7,53.8,7,53.8,0,0.0,3,23.1,71.0,48,67.6,48,67.6,0,0.0,6,8.5
02M419,LANDMARK HIGH SCHOOL,2015,24.0,12,50.0,12,50.0,0,0.0,5,20.8,74.0,59,79.7,59,79.7,0,0.0,10,13.5
02M419,LANDMARK HIGH SCHOOL,2014,15.0,9,60.0,9,60.0,0,0.0,2,13.3,52.0,40,76.9,40,76.9,0,0.0,3,5.8
02M419,LANDMARK HIGH SCHOOL,2013,21.0,7,33.3,7,33.3,0,0.0,5,23.8,54.0,38,70.4,38,70.4,0,0.0,10,18.5
02M419,LANDMARK HIGH SCHOOL,2012,22.0,8,36.4,8,36.4,0,0.0,5,22.7,65.0,45,69.2,44,67.7,0,0.0,10,15.4
02M419,LANDMARK HIGH SCHOOL,2011,27.0,8,29.6,8,29.6,0,0.0,9,33.3,67.0,30,44.8,30,44.8,0,0.0,8,11.9
02M419,LANDMARK HIGH SCHOOL,2010,16.0,6,37.5,5,31.3,0,0.0,3,18.8,86.0,48,55.8,48,55.8,0,0.0,8,9.3
02M419,LANDMARK HIGH SCHOOL,2009,18.0,3,16.7,2,11.1,0,0.0,6,33.3,80.0,35,43.8,35,43.8,0,0.0,21,26.3
02M419,LANDMARK HIGH SCHOOL,2008,18.0,3,16.7,3,16.7,0,0.0,7,38.9,93.0,47,50.5,47,50.5,0,0.0,28,30.1
02M419,LANDMARK HIGH SCHOOL,2007,15.0,2,13.3,2,13.3,0,0.0,5,33.3,80.0,38,47.5,38,47.5,0,0.0,11,13.8
02M419,LANDMARK HIGH SCHOOL,2006,21.0,8,38.1,8,38.1,0,0.0,5,23.8,73.0,50,68.5,50,68.5,0,0.0,8,11.0
02M419,LANDMARK HIGH SCHOOL,2005,18.0,6,33.3,0,0.0,0,0.0,3,16.7,80.0,54,67.5,0,0.0,0,0.0,4,5.0
02M419,LANDMARK HIGH SCHOOL,2004,20.0,9,45.0,0,0.0,0,0.0,3,15.0,80.0,43,53.8,0,0.0,0,0.0,9,11.3
02M419,LANDMARK HIGH SCHOOL,2003,15.0,10,66.7,0,0.0,0,0.0,2,13.3,63.0,37,58.7,0,0.0,0,0.0,16,25.4
02M419,LANDMARK HIGH SCHOOL,2002,21.0,12,57.1,0,0.0,0,0.0,5,23.8,74.0,46,62.2,0,0.0,0,0.0,10,13.5
02M419,LANDMARK HIGH SCHOOL,2001,11.0,6,54.5,0,0.0,0,0.0,2,18.2,68.0,42,61.8,0,0.0,0,0.0,6,8.8
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2017,44.0,36,81.8,36,81.8,9,20.5,3,6.8,405.0,391,96.5,391,96.5,318,78.5,2,0.5
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2016,45.0,39,86.7,39,86.7,6,13.3,1,2.2,392.0,379,96.7,379,96.7,296,75.5,5,1.3
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2015,47.0,32,68.1,15,31.9,0,0.0,10,21.3,378.0,358,94.7,355,93.9,174,46.0,8,2.1
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2014,41.0,20,48.8,10,24.4,0,0.0,5,12.2,362.0,332,91.7,325,89.8,174,48.1,3,0.8
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2013,31.0,21,67.7,6,19.4,0,0.0,0,0.0,342.0,307,89.8,299,87.4,153,44.7,6,1.8
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2012,50.0,25,50.0,15,30.0,0,0.0,10,20.0,329.0,302,91.8,299,90.9,119,36.2,4,1.2
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,2011,48.0,32,66.7,11,22.9,2,4.2,6,12.5,401.0,353,88.0,343,85.5,145,36.2,3,0.7
