Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
15K592-2014,KHALIL GIBRAN INTERNATIONAL ACADEMY - 2014,1,75,70.8,2.8,8.3,-0.387586135,-0.605246498,0.381681105
15K592-2013,KHALIL GIBRAN INTERNATIONAL ACADEMY - 2013,1,62.7,56.9,9.8,13.7,0.302147352,0.081817235,0.284344405
15K592-2012,KHALIL GIBRAN INTERNATIONAL ACADEMY - 2012,1,67.3,59.6,0,17.3,0.519067564,-0.191473236,0.823067731
15K656-2017,BROOKLYN HIGH SCHOOL OF THE ARTS - 2017,0,83.4,83.4,30,0.9,-1.747068006,0.068214368,-0.225985359
15K656-2016,BROOKLYN HIGH SCHOOL OF THE ARTS - 2016,0,88.4,88.4,43.2,2,-2.171015716,0.621918266,-0.150845088
15K656-2015,BROOKLYN HIGH SCHOOL OF THE ARTS - 2015,1,83.8,78.2,8.6,1.5,-1.192364168,-0.783468504,0.031345253
15K656-2014,BROOKLYN HIGH SCHOOL OF THE ARTS - 2014,1,81.6,72.4,7.6,3.2,-0.920087804,-0.709302959,0.048592854
15K656-2013,BROOKLYN HIGH SCHOOL OF THE ARTS - 2013,1,73.5,73.5,8.5,1,-0.886771375,-0.72275705,-0.256081735
15K656-2012,BROOKLYN HIGH SCHOOL OF THE ARTS - 2012,1,80,77.3,4.9,1.8,-0.999025803,-0.892306365,0.026596395
15K656-2011,BROOKLYN HIGH SCHOOL OF THE ARTS - 2011,1,89.5,87.9,3.2,1.6,-1.405031486,-1.072757063,0.36522369
15K656-2010,BROOKLYN HIGH SCHOOL OF THE ARTS - 2010,1,67.3,63.6,6.7,1.2,-0.499625499,-0.714726734,-0.480996414
15K656-2009,BROOKLYN HIGH SCHOOL OF THE ARTS - 2009,1,75.8,74.5,1.9,2.5,-0.752155649,-0.944092207,0.006595039
15K656-2008,BROOKLYN HIGH SCHOOL OF THE ARTS - 2008,1,73.3,71.6,7.4,3.4,-0.701926512,-0.643913356,-0.084895997
15K656-2007,BROOKLYN HIGH SCHOOL OF THE ARTS - 2007,1,81.3,74,3.1,2.1,-0.910550327,-0.953228607,0.042689776
15K656-2006,BROOKLYN HIGH SCHOOL OF THE ARTS - 2006,1,72,57,8,2,-0.458336652,-0.637992626,-0.463590508
15K656-2005,BROOKLYN HIGH SCHOOL OF THE ARTS - 2005,1,68.8,50.6,11.7,2.6,-0.300229202,-0.412823823,-0.623417606
15K656-2004,BROOKLYN HIGH SCHOOL OF THE ARTS - 2004,1,63.3,19.8,5.3,2.4,0.566952573,-0.564139089,-1.146726992
15K656-2003,BROOKLYN HIGH SCHOOL OF THE ARTS - 2003,1,71.4,36.1,2.7,2,0.085112665,-0.797198401,-0.742576692
15K656-2002,BROOKLYN HIGH SCHOOL OF THE ARTS - 2002,1,70.1,42.1,0.9,0.9,-0.025967134,-0.933164782,-0.729904599
15K656-2001,BROOKLYN HIGH SCHOOL OF THE ARTS - 2001,1,71.4,36.7,0.7,1.4,0.083040062,-0.911759711,-0.753602664
15K667-2017,SUNSET PARK HIGH SCHOOL - 2017,0,87.7,87.7,29,6.3,-1.64212483,0.248279002,0.358498265
15K667-2016,SUNSET PARK HIGH SCHOOL - 2016,1,89.3,88.9,11.1,5.7,-1.374310042,-0.542933256,0.597721158
15K667-2015,SUNSET PARK HIGH SCHOOL - 2015,1,76.2,67.1,13.3,5.6,-0.684671289,-0.298876695,-0.014056632
15K667-2014,SUNSET PARK HIGH SCHOOL - 2014,1,80.3,69.1,8.2,6.3,-0.681043887,-0.513118995,0.211332842
15K667-2013,SUNSET PARK HIGH SCHOOL - 2013,1,76.8,64,3.7,9.4,-0.253592083,-0.508335499,0.37645981
15K667-2012,SUNSET PARK HIGH SCHOOL - 2012,1,63.9,55.9,2.2,8,0.162927369,-0.52160676,-0.062550321
15K667-2011,SUNSET PARK HIGH SCHOOL - 2011,1,63.3,56,0.6,6.6,0.136648802,-0.652992313,-0.160700255
15K667-2010,SUNSET PARK HIGH SCHOOL - 2010,1,65.2,57.4,0.7,5.1,-0.011622731,-0.74054949,-0.226601662
15K667-2009,SUNSET PARK HIGH SCHOOL - 2009,1,65.9,58.6,1.7,5.3,-0.061842528,-0.697507323,-0.192893315
15K684-2017,MILLENNIUM BROOKLYN HS - 2017,0,99.4,99.4,89,0.6,-3.629838303,2.351199485,-0.514267874
15K684-2016,MILLENNIUM BROOKLYN HS - 2016,0,100,100,77.4,0,-3.453325751,1.831809646,-0.38622833
15K684-2015,MILLENNIUM BROOKLYN HS - 2015,0,98.7,98.7,67.9,0.6,-3.177414667,1.478348434,-0.253825558
15K684-2014,MILLENNIUM BROOKLYN HS - 2014,0,100,99.4,65.2,0,-3.196941185,1.324655269,-0.232038423
15K684-2013,MILLENNIUM BROOKLYN HS - 2013,0,97.6,97.6,45.1,0,-2.703734968,0.509166078,-0.031417561
15K684-2012,MILLENNIUM BROOKLYN HS - 2012,0,97.5,97.5,55.5,0,-2.907629539,0.943916275,-0.174485551
15K684-2011,MILLENNIUM BROOKLYN HS - 2011,0,94.7,94.7,39.8,0.9,-2.428253837,0.36190408,0.015531154
15K698-2017,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2017,2,27.2,27.2,0,4.3,1.435320398,-0.443701505,-1.408873762
15K698-2016,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2016,2,21,21,0,3.2,1.646536628,-0.434684521,-1.701042094
15K698-2015,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2015,2,9.5,7.9,0,14.3,2.726516779,0.232591319,-1.225025367
15K698-2014,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2014,2,9.2,7.7,0,9.2,2.482850512,-0.015415626,-1.63849515
15K698-2013,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2013,2,6.6,6.6,0,10.5,2.628908196,0.070857407,-1.596671465
15K698-2012,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2012,2,10.8,8.1,0,14.9,2.722965651,0.251882727,-1.152322684
15K698-2011,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2011,2,3.4,3.4,0,10.3,2.756275152,0.09359458,-1.718251367
15K698-2010,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2010,2,7.2,5.8,1.4,20.3,3.092584754,0.608882855,-0.839856748
15K698-2009,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2009,2,7.7,3.8,0,15.4,2.905305041,0.311317653,-1.234516391
15K698-2008,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2008,2,3.8,3.8,0,28.2,3.632404557,0.969732994,-0.282906519
15K698-2007,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2007,2,16,7.4,0,17.3,2.73917504,0.333165872,-0.885925432
15K698-2006,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2006,2,12.7,5.5,0,12.7,2.622866208,0.136713461,-1.337596971
15K698-2005,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2005,2,11.1,1.6,0,6.3,2.418783395,-0.155398983,-1.936348386
15K698-2004,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2004,2,8.2,0,0,16.3,3.015945356,0.362288187,-1.216483693
15K698-2003,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2003,2,9,4.5,0,14.9,2.836720546,0.275145446,-1.241069565
15K698-2002,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2002,2,14.9,1.4,0,13.5,2.696101805,0.170952803,-1.303912573
15K698-2001,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL - 2001,2,24.7,5.2,0,20.8,2.761435186,0.446639628,-0.497914172
16K393-2013,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2013,1,59.1,36.4,0,9.1,0.765940382,-0.470057224,-0.343378245
16K393-2012,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2012,2,47.4,47.4,0,15.8,1.142218008,-0.083813771,0.171956492
16K393-2011,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2011,1,60.7,60.7,0,3.6,-0.037474268,-0.819110415,-0.358044259
16K393-2010,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2010,2,45.5,45.5,3,12.1,0.979066323,-0.121301929,-0.225074478
16K393-2009,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2009,1,62,62,0,4,-0.073309904,-0.812673263,-0.283328118
16K393-2008,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2008,2,42.6,38.3,0,6.4,0.966320268,-0.485385491,-0.803382781
16K393-2007,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2007,1,49.2,36.5,3.2,4.8,0.70945268,-0.474728894,-0.892235108
16K393-2006,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2006,1,77.5,63.4,4.2,1.4,-0.666526491,-0.884429482,-0.263888727
16K393-2005,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL - 2005,1,93.1,77.8,5.6,2.8,-1.269924828,-0.912693309,0.324233709
16K455-2017,BOYS AND GIRLS HIGH SCHOOL - 2017,1,77.6,77.6,28.9,5.3,-1.256523515,0.297739886,-0.05319115
16K455-2016,BOYS AND GIRLS HIGH SCHOOL - 2016,1,68,68,7,7,-0.321248217,-0.434289182,0.059114594
16K455-2015,BOYS AND GIRLS HIGH SCHOOL - 2015,1,65.5,58.6,3.4,5.7,-0.066852962,-0.603965788,-0.19066103
16K455-2014,BOYS AND GIRLS HIGH SCHOOL - 2014,1,64.7,60,2.4,10.6,0.187428983,-0.402615541,0.221460968
16K455-2013,BOYS AND GIRLS HIGH SCHOOL - 2013,1,61.5,54.1,1.6,15.6,0.645060853,-0.150127437,0.479821746
16K455-2012,BOYS AND GIRLS HIGH SCHOOL - 2012,2,49.2,45.5,3.8,19.7,1.258541679,0.258277748,0.429969568
16K455-2011,BOYS AND GIRLS HIGH SCHOOL - 2011,2,50,47.2,3.3,27.8,1.620195105,0.62511902,1.121294978
16K455-2010,BOYS AND GIRLS HIGH SCHOOL - 2010,2,39.8,36.4,0.3,14.5,1.466475764,-0.048536783,-0.241709947
16K455-2009,BOYS AND GIRLS HIGH SCHOOL - 2009,2,34.8,33.3,0.2,15.2,1.679492878,0.027392442,-0.318968992
16K455-2008,BOYS AND GIRLS HIGH SCHOOL - 2008,2,30.4,29.3,1.1,17.4,1.952010566,0.21679758,-0.295090371
16K455-2007,BOYS AND GIRLS HIGH SCHOOL - 2007,2,38,32.6,1.2,20,1.840746696,0.283265023,0.091161398
16K455-2006,BOYS AND GIRLS HIGH SCHOOL - 2006,2,38.9,31.9,1.7,19.2,1.784626176,0.260009708,0.024567182
16K455-2005,BOYS AND GIRLS HIGH SCHOOL - 2005,2,37.2,24.9,1.7,12,1.605739357,-0.06218883,-0.689873053
16K455-2004,BOYS AND GIRLS HIGH SCHOOL - 2004,2,42.4,23.8,1.4,9,1.366577988,-0.257857376,-0.854977913
16K455-2003,BOYS AND GIRLS HIGH SCHOOL - 2003,2,38.5,18.1,1.4,12.8,1.760106127,-0.026359131,-0.711178496
16K455-2002,BOYS AND GIRLS HIGH SCHOOL - 2002,2,42.7,23.7,2.5,13.3,1.55438336,-0.002490384,-0.524732724
16K455-2001,BOYS AND GIRLS HIGH SCHOOL - 2001,2,47.4,25.3,3.7,23.8,1.915488985,0.524549415,0.39813083
16K498-2017,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2017,1,80.7,80.7,20.2,0,-1.479919178,-0.357268744,-0.254963541
16K498-2016,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2016,1,85.6,78.4,3.6,2.7,-1.077205242,-0.946914868,0.227288271
16K498-2015,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2015,1,76.2,58.7,0,1.6,-0.447734342,-1.027190497,-0.289829181
16K498-2014,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2014,1,82.1,74.3,8.6,7.1,-0.795323526,-0.484752724,0.384304227
16K498-2013,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2013,1,67.5,65,8.6,4.9,-0.385926804,-0.4588741,-0.186433446
16K498-2012,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2012,1,66,64.6,6.3,5.6,-0.262873758,-0.508125476,-0.131548713
16K498-2011,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2011,1,69.7,66.1,4.6,4.6,-0.392949653,-0.659820033,-0.101753498
16K498-2010,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2010,1,78.2,73.1,2.6,6.4,-0.597501473,-0.73711902,0.324458223
16K498-2009,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2009,2,48.9,46.7,0,14.1,1.037604866,-0.176638196,0.050629343
16K498-2008,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2008,1,70.7,67.7,2,16.2,0.182907192,-0.209663487,0.897587476
16K498-2007,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2007,1,71.8,60.7,0.9,8.5,-0.062319171,-0.623138837,0.205112738
16K498-2006,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2006,1,75,62.5,2.1,6.3,-0.305093148,-0.710003932,0.097102846
16K498-2005,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2005,1,67.4,47,9.8,13.6,0.391455695,0.069136964,0.194007379
16K498-2004,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2004,2,54.8,25.9,6.7,18.5,1.411198341,0.332387184,0.070469303
16K498-2003,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2003,2,45,20.7,2.1,17.9,1.800696742,0.19816427,-0.164188819
16K498-2002,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2002,2,30.2,15.9,0,12.7,2.015703793,-0.021924676,-0.875161151
16K498-2001,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY - 2001,2,38.8,13.6,0,20.4,2.251856686,0.299096651,-0.156767734
16K669-2017,RESEARCH AND SERVICE HIGH SCHOOL - 2017,2,22.1,20.6,0,14.7,2.203643643,0.123734376,-0.77546335
16K669-2016,RESEARCH AND SERVICE HIGH SCHOOL - 2016,2,19.7,15.6,0.8,2.5,1.734517753,-0.411255238,-1.877074223
16K669-2015,RESEARCH AND SERVICE HIGH SCHOOL - 2015,2,28.4,20.6,0,12.1,1.931225499,-0.050949762,-0.87648939
16K669-2014,RESEARCH AND SERVICE HIGH SCHOOL - 2014,2,23.7,12.3,0,20.2,2.610178415,0.405079548,-0.44677883
16K669-2013,RESEARCH AND SERVICE HIGH SCHOOL - 2013,2,18.8,14.6,0,18.8,2.604638855,0.366348014,-0.602660478
16K669-2012,RESEARCH AND SERVICE HIGH SCHOOL - 2012,2,18.3,14.4,0,17.3,2.545159325,0.296853268,-0.733465072
16K669-2011,RESEARCH AND SERVICE HIGH SCHOOL - 2011,2,18.5,14.8,0,12.3,2.28299534,0.048399833,-1.120848324
16K669-2010,RESEARCH AND SERVICE HIGH SCHOOL - 2010,2,4.6,1.5,0,15.4,3.02214011,0.340675695,-1.323883192
16K688-2017,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2017,1,82.6,73.9,0,4.3,-0.766115169,-0.983721313,0.279288621
16K688-2016,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2016,1,90.9,78.8,3,9.1,-0.873933496,-0.697722672,0.839122582
16K688-2015,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2015,1,72.7,27.3,0,13.6,0.867047416,-0.324894394,0.093867136
16K688-2014,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2014,1,69.8,44.2,0,0,-0.088651266,-1.018490074,-0.760160341
16K688-2013,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2013,1,65.7,48.6,0,11.4,0.48389633,-0.439509257,0.148483578
16K688-2012,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2012,1,61.5,33.3,0,10.3,0.834332951,-0.420380138,-0.258288169
16K688-2011,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2011,2,58.3,52.8,2.8,22.2,1.049235386,0.251821675,0.913290698
16K688-2010,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2010,2,34,27.7,0,29.8,2.543769622,0.758307022,0.739125657
16K688-2009,THE BROOKLYN ACADEMY OF GLOBAL FINANCE - 2009,2,48.1,46.2,0,19.2,1.320374114,0.081467344,0.434278401
16K765-2017,NELSON MANDELA HIGH SCHOOL - 2017,1,88.9,88.9,0,2.2,-1.317719849,-1.174993697,0.462121785
16K765-2016,NELSON MANDELA HIGH SCHOOL - 2016,1,85.7,85.7,0,2.9,-1.145438474,-1.10800016,0.412045806
16K765-2015,NELSON MANDELA HIGH SCHOOL - 2015,1,77.3,59.1,0,7.6,-0.18132508,-0.741423163,0.211801668
16K765-2014,NELSON MANDELA HIGH SCHOOL - 2014,1,81.9,70.8,0,2.8,-0.762265434,-1.043768794,0.09793413
17K122-2017,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2017,1,75.5,75.5,3.8,0.9,-0.883519956,-0.94404552,-0.13480717
17K122-2016,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2016,1,63.6,63.6,0,1.7,-0.256765167,-0.942058819,-0.413215295
17K122-2015,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2015,1,69.8,67.2,0,2.6,-0.425244953,-0.953773532,-0.179253423
17K122-2014,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2014,1,65.1,61.5,0,0.9,-0.288077583,-0.98678387,-0.485824437
17K122-2013,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2013,1,75,75,3.4,1.1,-0.844071178,-0.945803423,-0.13005591
17K122-2012,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2012,1,57.7,55,1.8,1.8,0.020173291,-0.79460639,-0.668271003
17K122-2011,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH) - 2011,1,57.7,55.7,5.2,0,-0.151909735,-0.743243517,-0.845578352
17K382-2017,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2017,1,81.4,81.4,8.5,3.4,-1.106077313,-0.685152008,0.195517929
17K382-2016,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2016,1,74.6,74.6,7.9,19,-0.023685571,0.126150612,1.218391087
17K382-2015,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2015,1,69.4,59.7,4.8,14.5,0.233664929,-0.14486086,0.572911927
17K382-2014,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2014,1,70.3,68.8,1.6,7.8,-0.241532282,-0.639450917,0.246795324
17K382-2013,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2013,1,61.9,58.7,4.8,17.5,0.573495328,0.061158243,0.669338816
17K382-2012,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2012,1,55.8,54.7,10.5,11.6,0.384194082,0.065077576,-0.043304149
17K382-2011,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2011,1,50.5,47.5,5.9,5,0.412911045,-0.392149478,-0.711820078
17K382-2010,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2010,1,62.9,52.8,9,3.4,-0.117256599,-0.4482685,-0.586606779
17K382-2009,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2009,1,67.7,65.6,17.7,4.2,-0.619718218,-0.11691368,-0.35122624
17K382-2008,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2008,1,67.5,60,6.3,10,0.016009192,-0.290284571,0.16828679
17K382-2007,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2007,2,54.3,45.7,7.4,21,1.131807231,0.433880758,0.573565721
17K382-2006,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL - 2006,1,84.1,73.9,17.4,4.3,-1.14839547,-0.269204347,0.070579509
17K408-2017,ACADEMY OF HOSPITALITY AND TOURISM - 2017,1,79,79,19.4,3.2,-1.231243012,-0.215972975,-0.04612409
17K408-2016,ACADEMY OF HOSPITALITY AND TOURISM - 2016,1,85.7,85.7,21.4,8.9,-1.274393171,0.079529933,0.601144904
17K408-2015,ACADEMY OF HOSPITALITY AND TOURISM - 2015,1,86.1,61.1,0,5.6,-0.520965388,-0.910677368,0.232877506
17K408-2014,ACADEMY OF HOSPITALITY AND TOURISM - 2014,1,88,72,0,8,-0.665227337,-0.836705044,0.632789037
17K408-2013,ACADEMY OF HOSPITALITY AND TOURISM - 2013,2,50.9,45.3,0,18.9,1.260244146,0.048371321,0.442702715
17K408-2012,ACADEMY OF HOSPITALITY AND TOURISM - 2012,2,46.6,43.1,0,20.7,1.492054818,0.174888051,0.477868307
17K408-2011,ACADEMY OF HOSPITALITY AND TOURISM - 2011,1,61.3,57.5,0,7.5,0.208450689,-0.623009044,-0.090224508
17K408-2010,ACADEMY OF HOSPITALITY AND TOURISM - 2010,1,58.6,52.9,0,4.3,0.203166571,-0.747666932,-0.464560477
17K408-2009,ACADEMY OF HOSPITALITY AND TOURISM - 2009,2,40,40,0,10,1.170386635,-0.293698883,-0.533255018
17K408-2008,ACADEMY OF HOSPITALITY AND TOURISM - 2008,1,56.1,52.4,0,9.8,0.544394789,-0.457254577,-0.077611174
17K408-2007,ACADEMY OF HOSPITALITY AND TOURISM - 2007,1,72,64,0,9.3,-0.075818724,-0.631879644,0.337827003
17K408-2006,ACADEMY OF HOSPITALITY AND TOURISM - 2006,1,69.1,51.9,1.2,3.7,-0.068297613,-0.802434164,-0.368730749
17K440-2002,PROSPECT HEIGHTS HS - 2002,2,49.5,17.3,0,37.8,2.802876488,1.065022381,1.46511328
17K440-2001,PROSPECT HEIGHTS HS - 2001,2,34,7.9,0,29.2,2.915290145,0.78315393,0.369198436
17K459-2002,HS FOR SCIENCE & MATH AT ERASMUS HALL CAMPUS - 2002,2,61.7,28,6.5,18.7,1.226350899,0.276823758,0.238818086
17K459-2001,HS FOR SCIENCE & MATH AT ERASMUS HALL CAMPUS - 2001,2,38.8,15.7,1.7,26.4,2.474676172,0.659273114,0.331257729
17K469-2003,HS FOR HUMANITIES AT ERASMUS HALL CAMPUS - 2003,2,47.7,6.2,0,26.2,2.489803917,0.5384573,0.33269288
17K469-2002,HS FOR HUMANITIES AT ERASMUS HALL CAMPUS - 2002,2,38.7,16.7,0.5,22,2.261104705,0.390860995,0.012410147
17K469-2001,HS FOR HUMANITIES AT ERASMUS HALL CAMPUS - 2001,2,32.5,7.4,0,25.8,2.789719362,0.628486302,0.065805905
17K470-2003,GEORGE WINGATE HS - 2003,2,0,0,0,37.5,4.2596209,1.46572791,0.33046031
17K470-2002,GEORGE WINGATE HS - 2002,2,48.5,24.7,1.5,33.3,2.420880859,0.893418769,1.191122547
17K470-2001,GEORGE WINGATE HS - 2001,2,36.6,6.9,0,28.2,2.826783392,0.717397535,0.31703052
17K479-2003,HS FOR BUSINESS & TECHNOLOGY - 2003,2,62.2,22,2.4,28,1.882873114,0.575902078,0.943514026
17K479-2002,HS FOR BUSINESS & TECHNOLOGY - 2002,2,53.6,19.8,6.3,9.9,1.14088084,-0.081523965,-0.726799327
17K479-2001,HS FOR BUSINESS & TECHNOLOGY - 2001,2,46.9,20.8,2.6,14.1,1.555995447,0.017758018,-0.439356406
17K489-2015,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2015,2,40,30,0,60,3.868391484,2.192438077,3.276428615
17K489-2014,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2014,2,28.6,20,0,42.9,3.47593324,1.463761619,1.564118865
17K489-2013,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2013,2,7.3,5.5,0,27.3,3.473762509,0.894792105,-0.268108026
17K489-2012,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2012,2,10,10,0,25,3.206597213,0.749268937,-0.332368041
17K489-2011,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2011,2,8,6,0,26,3.38289645,0.82429014,-0.351526883
17K489-2010,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2010,2,7.5,7.5,0,20.8,3.104299666,0.568186052,-0.748623438
17K489-2009,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2009,2,8.3,8.3,0,33.3,3.693774062,1.174714793,0.270909139
17K489-2008,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2008,2,11.5,9.4,0,36.5,3.758701295,1.305263349,0.596656579
17K489-2007,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2007,2,12.9,8.2,0,28.1,3.33212775,0.885090757,-0.066790632
17K489-2006,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2006,2,19.8,8.6,0,34.6,3.492146739,1.152329397,0.57172921
17K489-2005,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2005,2,23.7,7,0,17.5,2.582897601,0.286858997,-0.747551562
17K489-2004,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2004,2,9.9,1.5,0,19.8,3.121701637,0.517641438,-0.885520125
17K489-2003,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2003,2,13.3,2,0,10.2,2.555482517,0.018926413,-1.583132257
17K489-2002,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2002,2,7.3,1.6,0,9.8,2.679502714,0.044957226,-1.721937134
17K489-2001,WEB DUBOIS ACADEMIC HIGH SCHOOL - 2001,2,13,2.2,0,8,2.448430117,-0.087574696,-1.759690248
17K524-2017,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2017,1,79.5,79.5,0,7.2,-0.664735728,-0.833444992,0.548901012
17K524-2016,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2016,1,76,76,0,7,-0.524492403,-0.807654202,0.417412659
17K524-2015,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2015,2,49,43.3,0,13.5,1.074335561,-0.197552784,-0.050701909
17K524-2014,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2014,1,69.2,58.7,0,11.5,0.204841357,-0.488334471,0.379446363
17K524-2013,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2013,1,61.3,55.9,0,15.1,0.6201695,-0.244896626,0.487545352
17K524-2012,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2012,1,69.6,63.3,0,13.9,0.222285732,-0.385918023,0.651692504
17K524-2011,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2011,1,67.3,63.5,0,6.7,-0.089000624,-0.723420385,0.044385464
17K524-2010,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS - 2010,1,44.2,42.9,0,5.2,0.776932608,-0.568914959,-0.797049314
