Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
01M515-2006,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2006,2,54.4,47.2,35.8,18.1,0.385894743,1.470838922,-0.012413512
01M515-2005,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2005,2,45.5,36.4,29.2,13,0.684021404,1.040605822,-0.653779727
01M515-2004,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2004,2,48.5,37,30,12.5,0.562953134,1.025434821,-0.644232357
01M515-2003,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2003,2,42,34.6,23.4,19,1.215310207,1.124718092,-0.187070925
01M515-2002,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2002,2,44.8,30.8,0,16.3,1.562628722,0.00566789,-0.102051494
01M515-2001,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2001,2,53,21.7,0,18.1,1.651277106,0.058203704,0.030218534
01M539-2017,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2017",0,98.5,96.9,75.6,0.8,-3.280546172,1.815739679,-0.374062461
01M539-2016,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2016",0,94.9,91.8,74.7,1.3,-3.052647231,1.843552942,-0.465557885
01M539-2015,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2015",0,100,97.9,80,0,-3.462792966,1.946007243,-0.455348496
01M539-2014,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2014",0,93.1,91.6,76.3,1.5,-3.029878248,1.934045433,-0.504580117
01M539-2013,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2013",0,92.9,92.9,79.2,0,-3.184617326,1.97914765,-0.644918457
01M539-2012,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2012",0,99.5,98.9,83.3,0,-3.53780549,2.084605697,-0.491797665
01M539-2011,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2011",0,97.5,97.5,74.6,0.8,-3.250048482,1.779821361,-0.367610625
01M539-2010,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2010",0,94.7,93.8,57.5,1.8,-2.719408818,1.146810003,-0.165482585
01M539-2009,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2009",0,97.1,97.1,70.1,0,-3.182723137,1.556881221,-0.38390562
01M539-2008,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2008",0,96.3,96.3,63.4,0,-3.014265878,1.285600492,-0.32028713
01M539-2007,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2007",0,95.3,95.3,68.8,2.3,-2.964660291,1.634085982,-0.24315343
01M539-2006,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2006",0,100,100,67.4,0,-3.253146237,1.414759334,-0.25183874
01M539-2005,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2005",0,95.9,95.9,77.6,0,-3.281352296,1.881883425,-0.524331615
01M539-2004,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2004",0,96.7,96.7,90,3.3,-3.399225673,2.553156166,-0.40237112
01M539-2003,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2003",0,100,98.3,84.5,0,-3.560984121,2.13258188,-0.50931355
01M539-2002,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2002",0,100,100,85.7,0,-3.619474748,2.177961404,-0.49777169
01M539-2001,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL - 2001",0,94.1,94.1,70.6,5.9,-2.769529449,1.898394964,-0.020961667
01M650-2017,CASCADES HIGH SCHOOL - 2017,2,29.7,29.7,0,12.5,1.737237587,-0.065923669,-0.674823152
01M650-2016,CASCADES HIGH SCHOOL - 2016,2,35.4,29.3,0,9.1,1.446593067,-0.274388565,-0.855970005
