# Total Cohort,% Grads,% Passing Regents,% Advanced Regents,% Dropout,% Female Cohort,% Male Cohort,% Asian Cohort,% White Cohort,% Black Cohort,% Hispanic Cohort,% Native American Cohort,% Multi-Racial Cohort,% Econ Disadv Cohort,% Not Econ Disadv Cohort,% SWD Cohort,% Not SWD Cohort
11715,54.3491250533504,44.302176696542894,11.61758429364063,15.766111822449853,43.235168587281265,56.76483141271874,26.103286384976528,4.822876653862569,7.972684592402903,60.50362782757149,0.3072983354673495,0.29022620571916347,69.98719590268885,30.01280409731114,9.73111395646607,90.26888604353394
4564,41.498685363716035,25.503943908851884,3.549517966695881,21.18755477651183,49.91235758106924,50.08764241893077,3.9000876424189306,1.5556529360210343,23.685363716038562,69.12795793163892,0.26292725679228746,0.10955302366345311,78.59333917616127,21.406660823838738,14.658194566170026,85.34180543382998
1106,10.30741410488246,8.047016274864376,0.0,13.83363471971067,50.18083182640145,49.819168173598555,12.115732368896925,12.025316455696203,37.160940325497286,37.70343580470163,0.81374321880651,0.18083182640144665,66.09403254972875,33.90596745027125,16.2748643761302,83.7251356238698
1047,96.4660936007641,95.98853868194843,0.0,0.8595988538681949,56.35148042024832,43.64851957975167,9.837631327602674,33.14231136580707,18.911174785100286,34.95702005730659,0.4775549188156638,2.6743075453677174,46.41833810888252,53.581661891117484,10.983763132760267,89.01623686723973
999,15.215215215215217,12.212212212212211,0.0,14.114114114114114,51.45145145145145,48.548548548548546,0.6006006006006006,1.5015015015015014,85.98598598598599,11.11111111111111,0.6006006006006006,0.20020020020020018,81.08108108108108,18.91891891891892,18.71871871871872,81.28128128128128
796,62.93969849246231,52.51256281407035,2.638190954773869,11.934673366834172,42.462311557788944,57.537688442211056,13.190954773869345,2.8894472361809047,27.889447236180903,54.52261306532663,0.628140703517588,0.8793969849246231,81.53266331658291,18.467336683417084,24.49748743718593,75.50251256281408
521,79.46257197696737,72.552783109405,0.19193857965451055,3.262955854126679,51.24760076775432,48.75239923224568,15.738963531669867,29.942418426103647,33.397312859884835,19.577735124760075,0.9596928982725527,0.3838771593090211,80.80614203454894,19.193857965451055,12.859884836852206,87.1401151631478
1010,52.27722772277228,32.87128712871287,0.7920792079207921,20.2970297029703,34.25742574257426,65.74257425742574,3.1683168316831685,1.3861386138613863,26.435643564356436,68.41584158415841,0.49504950495049505,0.09900990099009901,79.8019801980198,20.198019801980198,24.95049504950495,75.04950495049505
1507,83.94160583941606,82.14996682149966,18.91174518911745,3.5832780358327807,55.938951559389515,44.061048440610485,14.5985401459854,5.04313205043132,31.851360318513606,42.33576642335766,5.04313205043132,1.1280690112806901,73.98805573988055,26.011944260119442,12.740544127405443,87.25945587259456
708,10.734463276836157,3.672316384180791,0.0,11.016949152542372,49.152542372881356,50.847457627118644,0.423728813559322,0.9887005649717515,83.05084745762711,14.971751412429379,0.2824858757062147,0.2824858757062147,73.30508474576271,26.69491525423729,8.192090395480225,91.80790960451978
1034,68.27852998065764,64.99032882011605,0.09671179883945842,10.9284332688588,48.16247582205029,51.83752417794971,0.09671179883945842,0.0,0.09671179883945842,99.70986460348162,0.09671179883945842,0.0,83.752417794971,16.247582205029012,2.321083172147002,97.678916827853
868,73.73271889400922,72.35023041474655,0.5760368663594471,8.870967741935484,48.73271889400922,51.26728110599078,0.0,0.0,0.1152073732718894,99.76958525345621,0.1152073732718894,0.0,96.31336405529954,3.686635944700461,1.3824884792626728,98.61751152073732
1504,80.45212765957447,66.22340425531915,11.569148936170212,5.1861702127659575,54.58776595744681,45.41223404255319,3.1914893617021276,1.5957446808510638,34.109042553191486,59.24202127659575,0.6648936170212766,1.196808510638298,81.18351063829788,18.816489361702125,15.35904255319149,84.6409574468085
1252,65.814696485623,53.03514376996805,3.3546325878594248,6.070287539936102,47.6038338658147,52.39616613418531,7.747603833865814,7.1086261980830665,38.4185303514377,44.16932907348243,0.4792332268370607,2.07667731629393,75.95846645367412,24.041533546325876,15.2555910543131,84.7444089456869
