School_Names,lat,lng
JILL CHAIFETZ TRANSFER HIGH SCHOOL,40.81903330000001,-73.9056372
BRONX HAVEN HIGH SCHOOL,40.8184262,-73.9200097
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,40.8156741,-73.9301357
SOUTH BRONX HS,40.8180246,-73.9113974
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,40.81827819999999,-73.9117284
UNIVERSITY HEIGHTS SECONDARY SCHOOL,40.8182091,-73.9113217
HOSTOS-LINCOLN ACADEMY OF SCIENCE,40.8182828,-73.9276623
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,40.810911,-73.90928389999999
BRONX DESIGN AND CONSTRUCTION ACADEMY,40.8184258,-73.9200085
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,40.8224234,-73.9229508
NEW EXPLORERS HIGH SCHOOL,40.8225734,-73.9235453
CAREERS IN SPORTS HIGH SCHOOL,40.8225735,-73.9235453
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,40.8137007,-73.9260609
MOTT HAVEN COMMUNITY HIGH SCHOOL,40.8104399,-73.9076822
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.8189084,-73.9200159
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HS,40.8102249,-73.90730289999999
HEALTH OPPORTUNITIES HIGH SCHOOL,40.815542,-73.9304433
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,40.8204279,-73.8931157
WOMEN'S ACADEMY OF EXCELLENCE,40.8149223,-73.85634859999999
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND THE ARTS,40.8401731,-73.8393567
GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,40.7722914,-73.9879069
PABLO NERUDA ACADEMY,40.8213444,-73.85567329999999
MILLENNIUM ART ACADEMY,40.8211879,-73.8567936
PELHAM LAB HIGH SCHOOL,40.8393964,-73.8388837
HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,40.75419,-73.9917475
SCHUYLERVILLE PREPARATORY HIGH SCHOOL,40.8401731,-73.8393567
BRONX RIVER HIGH SCHOOL,40.8394785,-73.83887039999999
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",40.814864,-73.856335
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,40.8215141,-73.85541409999999
BRONX COMMUNITY HIGH SCHOOL,40.8213444,-73.85567329999999
HERBERT H. LEHMAN HIGH SCHOOL,40.8402023,-73.83899679999999
BRONX BRIDGES HIGH SCHOOL,40.8214475,-73.8556542
ADLAI E STEVENSON HS,40.8215141,-73.85541409999999
GOTHAM COLLABORATIVE HIGH SCHOOL,40.8209495,-73.85554499999999
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY THE,40.8211129,-73.8807549
LONGWOOD PREPARATORY ACADEMY,40.8176439,-73.8980239
BRONX ARENA HIGH SCHOOL,40.8210901,-73.8811252
SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,40.6586422,-73.9286789
WESTCHESTER SQUARE ACADEMY,40.8400627,-73.838045
SCHOOL FOR TOURISM AND HOSPITALITY,40.821851,-73.902849
BRONX ACADEMY HS,40.8210877,-73.8811248
BRONX COMPASS HIGH SCHOOL,40.8213228,-73.855699
JANE ADDAMS HS FOR ACADEMIC CAREERS,40.8217168,-73.90245
NEW SCHOOL FOR ARTS AND SCIENCES,40.8161344,-73.88511940000001
