# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
11395,5387,4286,1134,2110,4834,6561,1435,2540,868,6436,96,20,8491,2904,2085,9310
1171,718,581,66,131,600,571,24,376,17,744,3,7,994,177,279,892
3149,2472,2373,835,182,1796,1353,117,249,243,2523,8,9,2374,775,383,2766
1356,684,550,22,224,629,727,15,1014,15,300,10,2,975,381,283,1073
826,741,740,211,28,398,428,35,328,197,220,24,22,653,173,130,696
2758,2648,2568,1204,26,898,1860,380,292,884,1044,45,113,1887,871,282,2476
1752,1212,1008,63,158,886,866,25,731,22,950,16,8,1434,318,361,1391
1281,1198,1182,1060,9,676,605,16,43,1152,58,0,12,1185,96,30,1251
549,412,398,35,51,108,441,7,143,13,375,5,6,426,123,135,414
5375,4198,3720,1188,297,2741,2634,678,930,895,2845,17,10,3545,1830,693,4682
561,233,195,0,93,273,288,4,92,1,459,5,0,503,58,136,425
2343,1370,1045,108,353,1138,1205,21,224,24,2066,4,4,2076,267,342,2001
6262,5303,4876,2005,182,4415,1847,405,1359,1419,3039,33,7,5043,1219,527,5735
652,448,420,3,53,214,438,8,502,11,62,6,3,498,154,116,536
2462,1592,1315,89,313,1165,1297,26,267,18,2147,4,0,1868,594,377,2085
1785,1299,1095,113,102,906,879,30,1273,147,303,22,10,1170,615,260,1525
1720,1195,1018,154,199,984,736,38,778,36,844,21,3,1418,302,268,1452
1701,1581,1581,1455,7,596,1105,434,242,554,390,7,74,677,1024,40,1661
2066,1210,966,86,246,877,1189,14,163,17,1865,4,3,1770,296,268,1798
1088,951,918,22,18,771,317,21,911,26,122,6,2,998,90,133,955
1457,1337,1229,215,17,1038,419,10,1204,45,188,1,9,1148,309,131,1326
1392,1041,894,137,176,567,825,20,1166,29,162,7,8,1106,286,244,1148
1948,1246,939,88,260,1171,777,54,522,40,1322,2,8,1709,239,339,1609
981,635,489,10,112,810,171,5,345,3,627,1,0,905,76,224,757
1505,1020,835,44,181,583,922,26,1273,26,163,11,6,1217,288,294,1211
4232,1486,1209,11,135,2405,1827,878,1436,242,1601,33,42,2356,1876,635,3597
1410,1381,1381,1279,2,685,725,680,164,282,258,8,18,413,997,20,1390
1207,964,880,244,47,693,514,189,137,170,690,3,18,898,309,188,1019
2177,1398,1132,71,252,761,1416,47,815,86,1210,11,8,1837,340,397,1780
1592,1214,1119,274,79,267,1325,26,585,87,875,16,3,1245,347,292,1300
2772,2205,1963,424,193,1245,1527,287,612,739,1120,10,4,2176,596,373,2399
1245,910,799,10,94,868,377,33,347,63,795,3,4,1071,174,210,1035
646,483,464,110,65,312,334,86,53,108,385,13,1,607,39,23,623
813,571,518,85,68,133,680,84,490,36,197,5,1,661,152,138,675
5075,4136,3854,2011,291,2315,2760,905,534,920,2659,18,39,4047,1028,884,4191
1508,830,715,77,164,734,774,18,130,77,1263,18,2,1377,131,15,1493
13641,9020,7535,1749,1659,7513,6128,448,5152,4335,3467,202,37,9264,4377,1272,12369
852,717,687,82,21,469,383,26,342,226,208,31,19,624,228,121,731
636,335,274,2,103,305,302,8,232,8,323,9,1,559,77,105,531
1468,1162,1040,333,47,872,596,18,334,58,1046,5,7,1064,404,146,1322
466,244,96,19,69,84,110,0,173,3,18,0,0,297,169,37,348
